,smiles,abbr,O_count,C:O,wbx_li_ebind,bp86_li_ebind,wbx_na_ebind,bp86_na_ebind,wbx_mg_ebind,bp86_mg_ebind,wbx_mol_homo,bp86_mol_homo,wbx_li_homo,bp86_li_homo,wbx_na_homo,bp86_na_homo,wbx_mg_homo,bp86_mg_homo,wbx_li_dipole,bp86_li_dipole,wbx_na_dipole,bp86_na_dipole,wbx_mg_dipole,bp86_mg_dipole,wbx_mol_abs_energy,bp86_mol_abs_energy
123,COCCCCOCCCOCCOCCCCOC,1:4:3:2:4:1,5,3.0,-1.761039095956221,-5.292018274387374,-3.1938988215551944,-4.297592623468518,-13.328156904306525,-14.342161281310837,-9.2255302962716,-5.2985464741659,-10.98363067296705,-9.2531226407123,-12.6634166834886,-9.18642753595475,-17.007605461180898,-13.29839435363035,18.708522365445784,0.9896990217742755,0.695485583311036,0.4080879103633982,0.9982534332580572,0.8883878996719474,-967.042781936658,-966.273925874822
124,COCCCCOCCOCCCCOCCCOC,1:4:2:4:3:1,5,3.0,-4.366719383844611,-5.301314056501724,-3.0348103834767244,-4.129540575075225,-12.081912407058553,-13.100821417658153,-9.160467874617051,-5.4489437993372505,-12.97909596145365,-9.3074909880422,-12.6022454898962,-9.094697956951201,-14.52502916891425,-10.64468566078425,1.136565408209181,1.0572383290749818,0.7818536114140047,0.49001721341042515,6.76950652457284,6.183988205808739,-967.050099555925,-966.280439860196
125,COCCCOCCCCOCCCCOCCOC,1:3:4:4:2:1,5,3.0,-4.411854619553196,-5.075420672532346,-3.413527636148501,-4.173306045806385,-13.472199544750765,-14.311554661187984,-8.942096509590801,-5.14825799453475,-12.848699004294051,-9.1444403688226,-12.70039695577155,-9.104684535264552,-16.8577795750956,-13.1892494881948,0.8263453249222013,1.0207913353699494,1.0545334716838515,1.1570171775007816,1.7980992232269168,1.7508486309250084,-967.043872931328,-966.280285429054
126,COCCCOCCCCOCCCOCCCOC,1:3:4:3:3:1,5,3.0,-4.6728412118172855,-5.389947250165278,-3.3647941269155126,-4.192570927873021,-13.507830825576093,-14.423257574657327,-9.170345607390201,-5.23049080015585,-12.83618176717105,-9.151678597245901,-12.707499127269601,-9.01075083407195,-17.05089877479545,-13.346612927938951,0.671874119914093,0.5653036648935917,0.8709361909282468,1.014052022329457,1.1114413857082357,1.128801945558439,-967.047309629938,-966.281701903244
127,COCCCCOCCCCOCCCCOCCOC,1:4:4:4:2:1,5,3.2,-4.633168570460839,-5.239233258947934,,-4.083264646134921,-13.324754318411578,-14.284106371393136,-9.2668371787775,-5.258817851992901,-12.864046225462252,-9.1712163717118,,-9.0402207640811,-16.7693969964532,-13.1220373671213,0.8589602669205819,1.0837256459208209,,1.9971403216326955,1.727585133576263,1.4648197645819299,-1006.359877927487,-1005.568380547942
128,COCCCCOCCCCOCCCOCCCOC,1:4:4:3:3:1,5,3.2,-4.303310330156819,-5.229201492089487,-3.3583549955328635,-4.261204488106159,-13.484531526104547,-14.496667957733735,-9.1342088880438,-5.3587924806666,-12.26474268112105,-9.049935228543951,-12.7213769336451,-8.98930826265255,-16.8142957817857,-13.09490761622645,2.4681453370576776,1.156577795069687,0.9031724280238408,0.987327135096663,1.6735923013924368,1.5051788646074538,-1006.36519520314,-1005.568144623171
129,COCCCCOCCCCOCCOCCCCOC,1:4:4:2:4:1,5,3.2,-4.537925350534351,-5.296764939059358,-3.583744603813102,-4.2708688234270085,-13.35464980902907,-14.369063257952803,-8.9485728192327,-5.2769950572063,-12.78758223347175,-9.163352281432351,-12.663280626563349,-9.05597615602505,-16.86031023390525,-13.1429357108397,0.7580783407778856,0.8467461897609485,0.8544768933054949,0.8020553782399207,0.8267367500169978,1.2231745366128541,-1006.360850605322,-1005.56588952249
130,COCCCCOCCCOCCCCOCCCOC,1:4:3:4:3:1,5,3.2,-4.44921280543349,-5.322467967558623,-3.3661134433496045,-4.277656377409585,-13.443291040399345,-14.411426315651624,-9.32085177810175,-5.2583824698321004,-12.71111824148125,-9.1041675189486,-12.7847250380415,-9.026043632470051,-16.81002359433285,-13.07444465466885,0.8749041919296134,0.29639865144865885,0.9556838936065064,0.9694921695098254,1.2931164600921325,1.2358466556219703,-1006.364610351158,-1005.567881293485
131,COCCCCOCCCOCCCOCCCCOC,1:4:3:3:4:1,5,3.2,-4.32769087205088,-5.236871098761185,-3.1098293237300823,-4.167954199601809,-13.301417172646325,-14.393651597252756,-9.0738540360029,-5.25552527440185,-12.844454028226249,-9.06778589713675,-12.727717186361751,-8.9598927554135,-16.7160626817552,-13.1239965868449,0.6556141607639157,0.5534435070368317,0.8721054105741574,0.3730120470122716,0.384219767129451,0.6308568909446032,-1006.368368009829,-1005.57074917505
132,COCCCOCCCCOCCCCOCCCOC,1:3:4:4:3:1,5,3.2,-4.382319191347051,-5.398136492065532,-3.4193031433824217,-4.239911422653677,-13.175914296720293,-14.291666464800073,-9.2173668807566,-5.25971582769955,-12.691634889785451,-9.083922248471401,-12.6871450112522,-9.013798509197551,-16.82934367771835,-13.1503916303434,0.9402460920242761,0.7639799575559196,0.975592669416677,0.6466922880103951,1.955282840584067,1.7962551133874973,-1006.369358370805,-1005.570539221319
133,COCCCCOCCCCOCCCCOCCCOC,1:4:4:4:3:1,5,3.4,-4.525204620200384,-5.204735340197658,-3.2873861606567516,-4.233121114899404,-12.66729993703484,-13.482766280409123,-9.167053029799149,-5.3311457134558005,-12.536747686080849,-8.98196118868905,-12.7288872759189,-8.9793761071093,-14.57101640964875,-10.75249716835235,0.8036010643080558,0.5512681691065778,0.9555930473566506,0.38492355541878176,7.59775587983072,6.7843079587083785,-1045.680172887744,-1044.856474959395
134,COCCCCOCCCCOCCCOCCCCOC,1:4:4:3:4:1,5,3.4,-4.303161306652328,-5.343802363222494,-3.3083660266565857,-4.380332322136383,-12.724837042493164,-13.711506735773582,-9.25140832345415,-5.2628995597504,-12.4255347553815,-9.098317071162851,-12.69936292313965,-9.0078392158716,-14.874613832651601,-11.20752594915845,1.4938837154507456,0.8398031974745236,0.4955229164597313,0.8446875401135349,4.895246341438969,3.6797309870359043,-1045.683769191076,-1044.852891684584
135,COCCCCOCCCCOCCCCOCCCCOC,1:4:4:4:4:1,5,3.6,-4.243818649669265,-5.19211223171078,-3.4426387242492638,-4.328452374400513,-12.257595754694194,-13.201253831946815,-9.380145386125701,-5.3213496148378,-12.28449814666735,-8.5708243719686,-12.62001452433385,-9.0220435588677,-13.739273214210451,-9.983993231770249,1.530452006165669,1.5460919392952457,1.1471496110372577,0.6533344038847434,9.489641953799474,9.156633600694924,-1085.001030956933,-1084.145022560471
